InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,CustomerName,Email,Address,PhoneNumber,Category,Supplier,StockLevel,Discount,SaleChannel,ReturnStatus,ProductWeight,ProductDimensions,ShippingCost,SalesRegion,PromotionCode,PaymentMethod
536704.0,21914,BLUE HARMONICA IN BOX,12,12/1/2010 14:34,1.25,19077,United Kingdom,Jane Brown,jane.brown@demo.net,390 Broadway,555-847-1271,Toys,Supplier D,401,16.76,Online,Returned,3.12,47x25x66 cm,11.78,Australia,PROMO20,Gift Card
536480.0,22622,InvalidDescription123,2,12/1/2010 10:50,9.95,19475,United Kingdom,Eva Johnson,eva.johnson@example.com,547 Main St,555-800-7704,Electronics,Supplier E,330,40.14,In-Store,Returned,1.07,10x56x30 cm,14.65,North America,SALE15,Gift Card
536365.0,84029E,***RED WOOLLY HOTTIE WHITE HEART.***,6,12/1/2010 8:26,3.39,10619,United Kingdom,Eva Johnson,eva.johnson@mail.com,883 Elm St,555-941-3989,Electronics,Supplier E,785,0.23,Online,Not Returned,6.87,5x33x65 cm,12.9,Australia,SALE15,Bank Transfer
536448.0,22634,BAKING SET 9 PIECE RETROSPOT,6,12/1/2010 10:18,4.95,10882,United Kingdom,Charlie Miller,charlie.miller@demo.net,921 Cedar St,555-893-5124,Home & Garden,Supplier A,508,16.67,Online,Not Returned,4.46,18x96x49 cm,15.97,Australia,SALE15,Bank Transfer
536435.0,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/1/2010 10:05,2.95,18988,United Kingdom,Eva Johnson,eva.johnson@mail.com,547 Main St,555-197-1130,Home & Garden,Supplier C,852,19.91,In-Store,Not Returned,1.31,11x85x26 cm,6.22,Europe,PROMO20,Bank Transfer
536653.0,71053,"{""description"": ""WHITE METAL LANTERN""}",6,12/1/2010 13:43,3.39,13642,United Kingdom,David Smith,david.smith@mail.com,390 Broadway,555-581-1153,Beauty,Supplier B,984,26.87,In-Store,Not Returned,5.0,63x89x86 cm,5.91,Europe,DISCOUNT5,PayPal
536541.0,22622,BOX OF VINTAGE ALPHABET BLOCKS: details,2,12/1/2010 11:51,9.95,11296,United Kingdom,David Brown,david.brown@test.org,594 Market St,555-433-1001,Clothing,Supplier A,69,45.99,In-Store,Not Returned,0.44,59x27x49 cm,8.71,Australia,,PayPal
536721.0,22634,,6,12/1/2010 14:51,4.95,18436,United Kingdom,Eva Jones,eva.jones@example.com,547 Main St,555-330-4155,Automotive,Supplier B,546,17.32,Online,Not Returned,9.1,77x33x98 cm,7.39,Australia,DISCOUNT5,Gift Card
536616.0,21914,BLUE HARMONICA IN BOX: details,12,12/1/2010 13:06,1.25,12895,United Kingdom,John Williams,john.williams@demo.net,547 Main St,555-785-4633,Toys,Supplier B,774,17.35,Online,Not Returned,2.66,99x1x21 cm,18.08,Australia,DISCOUNT5,Bank Transfer
536483.0,21777,RECIPE BOX WITH METAL HEART,4,12/1/2010 10:53,7.95,16593,United Kingdom,David Smith,david.smith@test.org,815 Maple St,555-229-4814,Toys,Supplier C,53,36.88,Online,Returned,6.66,55x6x92 cm,8.29,Europe,PROMO20,PayPal
536539.0,84969,"{""description"": ""BOX OF 6 ASSORTED COLOUR TEASPOONS""}",6,12/1/2010 11:49,4.25,10929,United Kingdom,John Miller,john.miller@test.org,253 High St,555-438-6895,Automotive,Supplier B,450,22.61,In-Store,Returned,3.19,81x69x95 cm,19.64,Australia,DISCOUNT5,Credit Card
536365.0,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 8:26,3.39,15366,United Kingdom,Alice Smith,alice.smith@demo.net,815 Maple St,555-921-2386,Beauty,Supplier B,205,11.23,In-Store,Returned,5.25,5x3x53 cm,10.05,Australia,PROMO10,Gift Card
536383.0,22624,SET OF 3 CAKE TINS PANTRY DESIGN,6,12/1/2010 9:13,5.95,18711,United Kingdom,Frank Williams,frank.williams@mail.com,709 Pine St,555-613-7852,Books,Supplier C,126,22.62,Online,Returned,5.51,23x53x37 cm,7.73,South America,SALE15,Cash
536584.0,SET 2 TEA TOWELS I LOVE LONDON,***nan***,3,,4.95,13212,United Kingdom,Bob Moore,bob.moore@test.org,450 Ash St,555-901-6238,Books,Supplier B,747,7.04,In-Store,Returned,1.93,74x74x83 cm,16.85,North America,PROMO10,Gift Card
536741.0,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,12/1/2010 15:11,9.95,12409,United Kingdom,Jane Wilson,jane.wilson@mail.com,450 Ash St,555-160-5805,Beauty,Supplier B,43,8.82,In-Store,Not Returned,9.7,17x85x78 cm,14.88,Asia,,Cash
536450.0,21724,RED HARMONICA IN BOX,10,12/1/2010 10:20,1.25,18199,United Kingdom,John Jones,john.jones@example.com,253 High St,555-784-3969,Books,Supplier B,752,24.92,In-Store,Returned,7.77,73x1x51 cm,12.47,North America,SALE15,Bank Transfer
,22752,SET 7 BABUSHKA NESTING BOXES,2,01/12/2010 25:61,7.65,13423,United Kingdom,Grace Moore,grace.moore@mail.com,256 Oak St,555-509-1894,Home & Garden,Supplier A,971,20.95,Online,Returned,9.4,45x77x4 cm,13.33,South America,DISCOUNT5,Cash
536503.0,22632,  HAND WARMER RED POLKA DOT  ,6,12/1/2010 11:13,1.85,16976,United Kingdom,David Taylor,david.taylor@example.com,256 Oak St,555-370-3844,Toys,Supplier A,883,45.74,In-Store,Returned,8.96,62x65x32 cm,15.79,Asia,,Bank Transfer
536656.0,21731,RED TOADSTOOL LED NIGHT LIGHT,12,Date: 12/1/2010 13:46,1.65,17594,United Kingdom,Jane Jones,jane.jones@mail.com,390 Broadway,555-175-5806,Beauty,Supplier A,111,18.12,In-Store,Returned,6.02,34x92x95 cm,8.43,Australia,SALE15,Credit Card
536419.0,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 9:49,1.85,15158,United Kingdom,John Moore,john.moore@test.org,253 High St,555-221-4041,Toys,Supplier C,761,29.03,Online,Returned,9.23,72x39x26 cm,19.95,South America,DISCOUNT5,Cash
536726.0,71053,WHITE METAL LANTERN,6,12/1/2010 14:56,3.39,13667,United Kingdom,Grace Taylor,grace.taylor@test.org,547 Main St,555-442-6445,Automotive,Supplier E,663,31.61,Online,Returned,0.98,34x54x3 cm,19.62,Australia,PROMO10,Gift Card
536607.0,22139,RETROSPOT TEA SET CERAMIC 11 PC,-6,12/1/2010 12:57,6.95,15973,United Kingdom,David Williams,david.williams@example.com,256 Oak St,555-723-4452,Electronics,Supplier B,183,0.65,In-Store,Returned,2.04,50x12x65 cm,14.75,Europe,SALE15,Bank Transfer
536455.0,21914,"{""description"": ""BLUE HARMONICA IN BOX""}",12,01/12/2010 25:61,1.25,16236,United Kingdom,John Johnson,john.johnson@demo.net,883 Elm St,555-857-7212,Home & Garden,Supplier B,848,33.18,In-Store,Not Returned,0.55,54x5x94 cm,7.99,South America,DISCOUNT5,Gift Card
536700.0,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/1/2010 14:30,2.95,18277,United Kingdom,Grace Jones,grace.jones@example.com,921 Cedar St,555-981-1968,Sports,Supplier C,95,8.9,Online,Not Returned,3.32,94x57x17 cm,15.2,Europe,PROMO10,PayPal
536701.0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 14:31,2.55,12468,United Kingdom,Henry Johnson,henry.johnson@example.com,547 Main St,555-785-4633,Home & Garden,Supplier B,971,48.05,Online,Returned,3.95,47x23x79 cm,6.08,South America,,Bank Transfer
536560.0,22634,BAKING SET 9 PIECE RETROSPOT,6,12/1/2010 12:10,4.95,16217,United Kingdom,David Taylor,david.taylor@mail.com,709 Pine St,555-183-1207,Beauty,Supplier A,374,7.43,In-Store,Not Returned,2.79,85x14x66 cm,5.46,South America,,Cash
536589.0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 12:39,2.55,13619,United Kingdom,Frank Smith,frank.smith@mail.com,883 Elm St,555-896-6342,Sports,Supplier E,912,20.73,In-Store,Not Returned,8.3,75x51x38 cm,8.87,Europe,,Bank Transfer
536399.0,21754,HOME BUILDING BLOCK WORD,3,12/1/2010 9:29,5.95,11636,United Kingdom,Charlie Jones,charlie.jones@example.com,883 Elm St,555-987-4845,Electronics,Supplier D,520,4.27,In-Store,Not Returned,3.63,64x98x38 cm,11.94,Asia,,Gift Card
536509.0,22634,BAKING SET 9 PIECE RETROSPOT,6,12/1/2010 11:19,4.95,18155,United Kingdom,John Wilson,john.wilson@test.org,253 High St,555-896-7262,Beauty,Supplier B,900,49.84,In-Store,Not Returned,2.88,50x98x82 cm,18.02,North America,PROMO20,Credit Card
536738.0,22310,IVORY KNITTED MUG COSY,6,12/1/2010 15:08,1.65,13583,United Kingdom,Charlie Miller,charlie.miller@mail.com,390 Broadway,555-616-2796,Clothing,Supplier A,360,25.11,Online,Returned,5.47,30x79x91 cm,15.91,Australia,SALE15,Bank Transfer
536567.0,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 12:17,3.39,14009,KNITTED UNION FLAG HOT WATER BOTTLE,Bob Brown,bob.brown@demo.net,709 Pine St,555-356-7276,Toys,Supplier D,900,29.77,In-Store,Not Returned,1.5,51x63x98 cm,16.14,South America,SALE15,Cash
536667.0,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,60,12/1/2010 13:57,339.0,13326,United Kingdom,Frank Wilson,frank.wilson@mail.com,256 Oak St,555-379-3679,Electronics,Supplier E,696,3.35,In-Store,Not Returned,8.04,52x38x97 cm,11.38,Australia,PROMO20,PayPal
536382.0,22725,GLASS JAR DAISY FRESH COTTON WOOL,6,12/1/2010 9:12,4.95,18148,United Kingdom,Grace Smith,grace.smith@mail.com,253 High St,555-936-2229,Toys,Supplier D,281,37.5,Online,Not Returned,0.84,88x79x30 cm,10.19,Europe,DISCOUNT5,Credit Card
536564.0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,01/01/2050 00:00,2.55,12217,United Kingdom,Bob Davis,bob.davis@demo.net,256 Oak St,555-645-5346,Books,Supplier A,195,10.5,In-Store,Returned,9.87,51x81x5 cm,10.57,Australia,DISCOUNT5,PayPal
536648.0,22634,  BAKING SET 9 PIECE RETROSPOT  ,6,12/1/2010 13:38,4.95,14967,United Kingdom,Charlie Taylor,charlie.taylor@example.com,253 High St,555-610-1281,Clothing,Supplier D,864,44.9,Online,Returned,7.75,29x4x10 cm,19.81,Europe,,Bank Transfer
536416.0,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 9:46,7.65,12369,United Kingdom,John Jones,john.jones@demo.net,253 High St,555-403-9125,Clothing,Supplier C,195,10.26,In-Store,Returned,2.07,56x17x74 cm,5.6,Australia,PROMO10,Gift Card
536368.0,84988,set 2 tea towels i love london,3,12/1/2010 8:35,4.95,13638,United Kingdom,John Johnson,john.johnson@example.com,253 High St,555-115-5806,Electronics,Supplier D,667,9.53,In-Store,Returned,0.15,17x84x88 cm,18.01,North America,DISCOUNT5,Gift Card
536479.0,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,12/1/2010 10:49,4.95,19135,United Kingdom,John Davis,john.davis@example.com,390 Broadway,555-820-5167,Clothing,Supplier B,93,1.83,Online,Returned,8.17,69x34x6 cm,13.68,North America,PROMO10,Cash
536727.0,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/2010 14:57,2.75,15722,United Kingdom,David Jones,david.jones@example.com,253 High St,555-623-1294,Sports,Supplier B,672,23.6,Online,Returned,7.1,53x66x77 cm,11.58,North America,SALE15,Gift Card
536414.0,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 9:44,3.39,14444,United Kingdom,John Jones,john.jones@demo.net,594 Market St,555-425-6352,Clothing,Supplier C,946,28.24,In-Store,Returned,7.32,43x75x23 cm,15.88,North America,PROMO10,Credit Card
536640.0,22623,"{""description"": [""BOX OF VINTAGE JIGSAW BLOCKS""]}",3,12/1/2010 13:30,4.95,17618,United Kingdom,David Jones,david.jones@example.com,921 Cedar St,555-440-9320,Toys,Supplier A,61,3.29,In-Store,Not Returned,7.74,55x80x95 cm,12.3,North America,SALE15,Gift Card
536430.0,21777,RECIPE BOX WITH METAL HEART,4,12/1/2010 10:00,7.95,13947,United Kingdom,Henry Williams,henry.williams@test.org,256 Oak St,555-703-4054,Toys,Supplier B,634,38.78,In-Store,Not Returned,0.83,75x16x8 cm,18.1,North America,PROMO20,Cash
,71053,WHITE METAL LANTERN,6,01/01/2050 00:00,3.39,11676,United Kingdom,Eva Williams,eva.williams@demo.net,547 Main St,555-243-8186,Beauty,Supplier E,51,22.66,Online,Not Returned,3.65,4x4x56 cm,18.51,Europe,PROMO20,Bank Transfer
536381.0,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 9:11,7.65,11196,United Kingdom,Jane Wilson,jane.wilson@test.org,815 Maple St,555-777-8099,Toys,Supplier B,403,26.22,In-Store,Returned,1.25,25x67x96 cm,11.33,South America,,Bank Transfer
536634.0,84879,ASSORTED COLOUR BIRD ORNAMENT,unknown,12/1/2010 13:24,unknown,12787,United Kingdom,Grace Taylor,grace.taylor@example.com,709 Pine St,555-117-1768,Beauty,Supplier B,789,22.04,Online,Returned,8.64,67x27x93 cm,9.15,Australia,DISCOUNT5,Gift Card
536601.0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 12:51,2.55,17432,United Kingdom,Charlie Jones,charlie.jones@mail.com,450 Ash St,555-584-6178,Toys,Supplier A,5,20.04,Online,Returned,6.27,32x50x61 cm,13.89,North America,,PayPal
536432.0,21756,DOORMAT NEW ENGLAND,6,01/12/2010 25:61,7.95,19653,United Kingdom,Bob Jones,bob.jones@example.com,390 Broadway,555-881-5430,Sports,Supplier D,466,27.98,In-Store,Returned,3.38,51x19x21 cm,18.69,Europe,SALE15,Bank Transfer
536598.0,22111,SCANDINAVIAN REDS RIBBONS,10,01/01/1900 00:00,1.65,17927,United Kingdom,Frank Jones,frank.jones@test.org,547 Main St,555-693-4294,Automotive,Supplier B,604,7.76,Online,Returned,0.73,5x82x92 cm,8.16,Europe,,Gift Card
536678.0,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12/1/2010 14:08,4.25,13318,United Kingdom,Eva Johnson,eva.johnson@test.org,883 Elm St,555-317-1936,Beauty,Supplier C,682,9.1,In-Store,Not Returned,3.18,42x61x22 cm,14.34,Europe,PROMO10,Cash
536660.0,22634,"{""description"": ""BAKING SET 9 PIECE RETROSPOT""}",6,12/1/2010 13:50,4.95,18858,United Kingdom,Henry Taylor,henry.taylor@demo.net,594 Market St,555-575-3681,Home & Garden,Supplier D,829,43.09,In-Store,Not Returned,3.32,21x70x1 cm,14.47,South America,SALE15,Gift Card
536367.0,22745,***POPPY'S PLAYHOUSE BEDROOM***,6,12/1/2010 8:34,2.1,16689,United Kingdom,Jane Jones,jane.jones@mail.com,450 Ash St,555-475-3033,Books,Supplier E,534,47.31,In-Store,Returned,7.32,5x12x90 cm,16.0,Australia,PROMO20,Bank Transfer
536677.0,22310,IVORY KNITTED MUG COSY: details,6,01/01/1900 00:00,1.65,12176,United Kingdom,Henry Brown,henry.brown@demo.net,815 Maple St,555-130-8561,Electronics,Supplier A,405,18.67,In-Store,Returned,6.41,46x34x49 cm,6.97,South America,DISCOUNT5,Cash
536524.0,21723,STRIPED CHARLIE+LOLA CHARLOTTE BAG,20,12/1/2010 11:34,2.95,13743,United Kingdom,Charlie Wilson,charlie.wilson@test.org,547 Main St,555-826-5223,Toys,Supplier E,838,13.54,In-Store,Returned,8.88,78x90x45 cm,15.74,Asia,SALE15,Gift Card
536610.0,22111,SCANDINAVIAN REDS RIBBONS,10,12/1/2010 13:00,1.65,18792,United Kingdom,Jane Brown,jane.brown@example.com,450 Ash St,555-392-8832,Clothing,Supplier D,513,32.2,Online,Returned,4.77,27x73x26 cm,18.64,Europe,SALE15,Credit Card
536605.0,21731,RED TOADSTOOL LED NIGHT LIGHT,12,01/12/2010 25:61,1.65,14422,United Kingdom,Frank Johnson,frank.johnson@mail.com,547 Main St,555-417-2525,Automotive,Supplier D,645,20.44,Online,Not Returned,1.28,47x86x56 cm,7.7,Asia,PROMO10,Cash
,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,12/1/2010 9:27,9.95,13824,United Kingdom,Frank Wilson,frank.wilson@example.com,594 Market St,555-101-7368,Toys,Supplier D,233,1.27,In-Store,Returned,7.16,94x63x48 cm,8.56,North America,DISCOUNT5,Credit Card
536686.0,22111,SCANDINAVIAN  REDS  RIBBONS,10,12/1/2010 14:16,1.65,19171,United Kingdom,Grace Miller,grace.miller@example.com,815 Maple St,555-830-5263,Clothing,Supplier E,524,7.81,In-Store,Returned,7.63,61x81x26 cm,19.57,North America,PROMO20,PayPal
536579.0,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,12/1/2010 12:29,4.95,12451,United Kingdom,Eva Johnson,eva.johnson@mail.com,883 Elm St,555-835-3768,Books,Supplier D,346,35.8,Online,Returned,5.66,36x1x8 cm,7.71,South America,SALE15,Cash
